iter	Passed	Remaining
402	11808	17493
403	11837	17462
404	11865	17432
405	11894	17401
406	11922	17370
407	11950	17339
408	11979	17310
409	12008	17280
410	12037	17250
411	12065	17219
412	12094	17190
413	12121	17157
414	12149	17126
415	12177	17095
416	12205	17063
417	12233	17032
418	12261	17002
419	12289	16970
420	12316	16939
421	12352	16919
422	12381	16888
423	12409	16858
424	12437	16827
425	12466	16797
426	12494	16766
427	12522	16735
428	12550	16704
429	12577	16673
430	12606	16643
431	12634	16612
432	12663	16581
433	12691	16550
434	12719	16520
435	12747	16489
436	12775	16458
437	12803	16428
438	12832	16398
439	12860	16367
440	12888	16336
441	12915	16305
442	12943	16274
443	12972	16244
444	13001	16215
445	13030	16185
446	13058	16155
447	13087	16125
448	13114	16093
449	13142	16062
450	13169	16030
451	13196	15998
452	13224	15968
453	13251	15937
454	13280	15906
455	13307	15875
456	13336	15845
457	13365	15816
458	13393	15786
459	13421	15755
460	13450	15725
461	13479	15696
462	13506	15665
463	13534	15634
464	13564	15606
465	13592	15576
466	13620	15545
467	13649	15515
468	13676	15485
469	13704	15454
470	13733	15424
471	13761	15394
472	13789	15363
473	13817	15333
474	13845	15302
475	13874	15273
476	13902	15243
477	13931	15213
478	13960	15184
479	13989	15155
480	14018	15126
481	14046	15096
482	14075	15065
483	14102	15034
484	14129	15003
485	14157	14973
486	14184	14942
487	14211	14910
488	14239	14879
489	14267	14850
490	14295	14819
491	14323	14788
492	14350	14758
493	14378	14728
494	14407	14698
495	14435	14668
496	14463	14638
497	14491	14607
498	14519	14577
499	14548	14548
500	14576	14518
501	14604	14488
502	14632	14458
503	14662	14429
504	14690	14399
505	14719	14370
506	14746	14339
507	14774	14309
508	14802	14279
509	14830	14249
510	14858	14219
511	14887	14189
512	14915	14159
513	14943	14129
514	14972	14100
515	15002	14071
516	15030	14042
517	15058	14012
518	15086	13981
519	15114	13951
520	15141	13920
521	15169	13891
522	15206	13868
523	15234	13839
524	15262	13809
525	15290	13779
526	15318	13748
527	15346	13718
528	15374	13688
529	15402	13659
530	15430	13628
531	15458	13598
532	15487	13569
533	15515	13539
534	15543	13509
535	15571	13480
536	15599	13449
537	15628	13420
538	15656	13391
539	15685	13361
540	15713	13331
541	15741	13301
542	15769	13271
543	15796	13241
544	15824	13211
545	15852	13181
546	15881	13152
547	15908	13121
548	15936	13092
549	15967	13064
550	15997	13036
551	16027	13007
552	16055	12977
553	16082	12947
554	16109	12916
555	16137	12886
556	16165	12856
557	16193	12826
558	16220	12796
559	16248	12766
560	16275	12736
561	16304	12707
562	16332	12677
563	16360	12647
564	16388	12617
565	16416	12587
566	16444	12557
567	16472	12528
568	16500	12498
569	16528	12468
570	16556	12439
571	16584	12409
572	16613	12380
573	16641	12350
574	16669	12321
575	16698	12291
576	16727	12263
577	16755	12233
578	16783	12203
579	16811	12174
580	16840	12144
581	16868	12115
582	16896	12085
583	16924	12056
584	16953	12027
585	16983	11998
586	17011	11968
587	17039	11939
588	17068	11910
589	17096	11880
590	17123	11850
591	17151	11820
592	17178	11790
593	17206	11760
594	17233	11730
595	17262	11701
596	17290	11671
597	17318	11642
598	17346	11612
599	17374	11582
600	17403	11553
601	17431	11524
602	17459	11494
603	17487	11465
604	17516	11436
605	17544	11406
606	17572	11377
607	17600	11347
608	17628	11318
609	17657	11288
610	17685	11259
611	17713	11230
612	17741	11200
613	17769	11171
614	17797	11141
615	17825	11112
616	17853	11082
617	17881	11053
618	17910	11024
619	17939	10995
620	17969	10967
621	17999	10938
622	18027	10909
623	18056	10880
624	18087	10852
625	18115	10822
626	18143	10793
627	18170	10763
628	18197	10733
629	18225	10703
630	18253	10674
631	18280	10644
632	18309	10615
633	18338	10586
634	18365	10556
635	18393	10527
636	18422	10498
637	18451	10469
638	18479	10439
639	18507	10410
640	18536	10381
641	18572	10356
642	18599	10326
643	18628	10297
644	18656	10268
645	18684	10239
646	18714	10210
647	18742	10180
648	18770	10151
649	18798	10122
650	18826	10092
651	18854	10063
652	18882	10034
653	18910	10004
654	18940	9976
655	18969	9947
656	18998	9918
657	19026	9889
658	19055	9860
659	19083	9830
660	19110	9800
661	19137	9771
662	19165	9741
663	19193	9712
664	19231	9687
665	19259	9658
666	19286	9628
667	19314	9599
668	19342	9569
669	19370	9540
670	19398	9511
671	19426	9481
672	19454	9452
673	19482	9423
674	19511	9394
675	19539	9364
676	19567	9335
677	19595	9306
678	19623	9277
679	19651	9247
680	19680	9218
681	19708	9189
682	19737	9160
683	19766	9131
684	19794	9102
685	19823	9073
686	19851	9044
687	19879	9015
688	19907	8985
689	19940	8958
690	19968	8929
691	19997	8900
692	20026	8871
693	20055	8842
694	20082	8813
695	20109	8783
696	20137	8754
697	20164	8724
698	20192	8695
699	20219	8665
700	20249	8636
701	20277	8607
702	20305	8578
703	20334	8549
704	20362	8520
705	20390	8491
706	20418	8461
707	20447	8432
708	20475	8403
709	20503	8374
710	20531	8345
711	20560	8316
712	20588	8287
713	20617	8258
714	20645	8229
715	20673	8199
716	20701	8170
717	20729	8141
718	20758	8112
719	20786	8083
720	20815	8054
721	20843	8025
722	20872	7996
723	20900	7967
724	20929	7938
725	20958	7909
726	20988	7881
727	21016	7852
728	21045	7823
729	21072	7794
730	21100	7764
731	21127	7735
732	21154	7705
733	21182	7676
734	21209	7646
735	21237	7617
736	21265	7588
737	21294	7559
738	21323	7531
739	21351	7501
740	21379	7472
741	21408	7443
742	21436	7414
743	21465	7385
744	21494	7357
745	21522	7328
746	21550	7299
747	21579	7270
748	21607	7240
749	21635	7211
750	21663	7182
751	21691	7153
752	21719	7124
753	21746	7095
754	21774	7065
755	21803	7037
756	21831	7008
757	21859	6978
758	21887	6949
759	21915	6920
760	21945	6892
761	21974	6863
762	22004	6834
763	22034	6806
764	22061	6777
765	22088	6747
766	22116	6718
767	22143	6689
768	22170	6659
769	22199	6630
770	22226	6601
771	22254	6572
772	22283	6543
773	22311	6514
774	22339	6485
775	22367	6456
776	22396	6427
777	22425	6398
778	22453	6369
779	22480	6340
780	22509	6311
781	22537	6282
782	22565	6253
783	22593	6224
784	22621	6195
785	22649	6166
786	22678	6137
787	22706	6108
788	22734	6079
789	22762	6050
790	22790	6021
791	22818	5992
792	22847	5964
793	22876	5935
794	22904	5906
795	22933	5877
